Source,Target,Association
arcgis/SB1/BuildingCA_Reference/0,arcgis/SB1/BuildingCA_Reference/0/Shape,esri.arcgis.custom.LayerContainsField
arcgis/SB1/BuildingCA_Reference/0,arcgis/SB1/BuildingCA_Reference/0/Shape.STArea(),esri.arcgis.custom.LayerContainsField
arcgis/SB1/BuildingCA_Reference/0,arcgis/SB1/BuildingCA_Reference/0/Shape.STLength(),esri.arcgis.custom.LayerContainsField
arcgis/SB1/BuildingCA_Reference,arcgis/SB1/BuildingCA_Reference/1,esri.arcgis.custom.MapServerContainsLayer
arcgis/SB1/BuildingCA_Reference/1,arcgis/SB1/BuildingCA_Reference/1/OBJECTID,esri.arcgis.custom.LayerContainsField
arcgis/SB1/BuildingCA_Reference/1,arcgis/SB1/BuildingCA_Reference/1/COUNTY,esri.arcgis.custom.LayerContainsField
arcgis/SB1/BuildingCA_Reference/1,arcgis/SB1/BuildingCA_Reference/1/Shape,esri.arcgis.custom.LayerContainsField
arcgis/SB1/BuildingCA_Reference/1,arcgis/SB1/BuildingCA_Reference/1/Shape.STArea(),esri.arcgis.custom.LayerContainsField
arcgis/SB1/BuildingCA_Reference/1,arcgis/SB1/BuildingCA_Reference/1/Shape.STLength(),esri.arcgis.custom.LayerContainsField
arcgis/SB1/BuildingCA_Reference,arcgis/SB1/BuildingCA_Reference/2,esri.arcgis.custom.MapServerContainsLayer
arcgis/SB1/BuildingCA_Reference/2,arcgis/SB1/BuildingCA_Reference/2/OBJECTID,esri.arcgis.custom.LayerContainsField
arcgis/SB1/BuildingCA_Reference/2,arcgis/SB1/BuildingCA_Reference/2/DISTRICT,esri.arcgis.custom.LayerContainsField
arcgis/SB1/BuildingCA_Reference/2,arcgis/SB1/BuildingCA_Reference/2/Region,esri.arcgis.custom.LayerContainsField
arcgis/SB1/BuildingCA_Reference/2,arcgis/SB1/BuildingCA_Reference/2/Shape,esri.arcgis.custom.LayerContainsField
arcgis/SB1/BuildingCA_Reference/2,arcgis/SB1/BuildingCA_Reference/2/Shape.STArea(),esri.arcgis.custom.LayerContainsField
arcgis/SB1/BuildingCA_Reference/2,arcgis/SB1/BuildingCA_Reference/2/Shape.STLength(),esri.arcgis.custom.LayerContainsField
arcgis/SB1/BuildingCA_Reference,arcgis/SB1/BuildingCA_Reference/3,esri.arcgis.custom.MapServerContainsLayer
arcgis/SB1/BuildingCA_Reference/3,arcgis/SB1/BuildingCA_Reference/3/OBJECTID,esri.arcgis.custom.LayerContainsField
arcgis/SB1/BuildingCA_Reference/3,arcgis/SB1/BuildingCA_Reference/3/ID,esri.arcgis.custom.LayerContainsField
