core.externalId,core.name,core.description,core.businessDescription,core.businessName,core.reference,esri.arcgis.custom.Type,esri.arcgis.custom.alias,esri.arcgis.custom.defaultValue,esri.arcgis.custom.domain,esri.arcgis.custom.editable,esri.arcgis.custom.modelName,esri.arcgis.custom.nullable,core.Position
arcgis/CHaviation/Military_Airport/0/OBJECTID,OBJECTID,,,,FALSE,esriFieldTypeOID,OBJECTID,,,,,,1
arcgis/CHaviation/Military_Airport/0/FACILITY,FACILITY,,,,FALSE,esriFieldTypeString,FACILITY,,,,,,2
arcgis/CHaviation/Military_Airport/0/FACWEB,FACWEB,,,,FALSE,esriFieldTypeString,FACWEB,,,,,,3
arcgis/CHaviation/Military_Airport/0/AIRPORTID,AIRPORTID,,,,FALSE,esriFieldTypeString,AIRPORTID,,,,,,4
arcgis/CHaviation/Military_Airport/0/CITY,CITY,,,,FALSE,esriFieldTypeString,CITY,,,,,,5
arcgis/CHaviation/Military_Airport/0/COUNTY,COUNTY,,,,FALSE,esriFieldTypeString,COUNTY,,,,,,6
arcgis/CHaviation/Military_Airport/0/FNCTNLCLSS,FNCTNLCLSS,,,,FALSE,esriFieldTypeString,FNCTNLCLSS,,,,,,7
arcgis/CHaviation/Military_Airport/0/STATECLASS,STATECLASS,,,,FALSE,esriFieldTypeString,STATECLASS,,,,,,8
arcgis/CHaviation/Military_Airport/0/FACUSETYPE,FACUSETYPE,,,,FALSE,esriFieldTypeString,FACUSETYPE,,,,,,9
arcgis/CHaviation/Military_Airport/0/OWNERSHIP,OWNERSHIP,,,,FALSE,esriFieldTypeString,OWNERSHIP,,,,,,10
arcgis/CHaviation/Military_Airport/0/OWNER,OWNER,,,,FALSE,esriFieldTypeString,OWNER,,,,,,11
arcgis/CHaviation/Military_Airport/0/FAASITENO,FAASITENO,,,,FALSE,esriFieldTypeString,FAASITENO,,,,,,12
arcgis/CHaviation/Military_Airport/0/DISTRICT,DISTRICT,,,,FALSE,esriFieldTypeDouble,DISTRICT,,,,,,13
arcgis/CHaviation/Military_Airport/0/ELEVATION,ELEVATION,,,,FALSE,esriFieldTypeDouble,ELEVATION,,,,,,14
arcgis/CHaviation/Military_Airport/0/AIRPORTMAS,AIRPORTMAS,,,,FALSE,esriFieldTypeString,AIRPORTMAS,,,,,,15
arcgis/CHaviation/Military_Airport/0/ALTLAT,ALTLAT,,,,FALSE,esriFieldTypeString,ALTLAT,,,,,,16
arcgis/CHaviation/Military_Airport/0/ALTLONG,ALTLONG,,,,FALSE,esriFieldTypeString,ALTLONG,,,,,,17
